Technology,Phase,Functional Unit,Ecoinvent Database Type,Method Family,Impact Category,Score,Impact Unit
Fuel_MeOH,Infra,kg/hr,ecoinvent-cutoff-3.11,EF v3.1,climate change,341.96351641207093,kg CO2-Eq
Fuel_MeOH,Infra,kg/hr,ecoinvent-cutoff-3.11,EF v3.1,climate change: biogenic,0.517987309643528,kg CO2-Eq
Fuel_MeOH,Infra,kg/hr,ecoinvent-cutoff-3.11,EF v3.1,climate change: fossil,341.01310532005596,kg CO2-Eq
Fuel_MeOH,Infra,kg/hr,ecoinvent-cutoff-3.11,EF v3.1,climate change: land use and land use change,0.4324237823714445,kg CO2-Eq
Fuel_MeOH,Infra,kg/hr,ecoinvent-cutoff-3.11,EF v3.1,ecotoxicity: freshwater,9279.57373928723,CTUe
Fuel_MeOH,Infra,kg/hr,ecoinvent-cutoff-3.11,EF v3.1,"ecotoxicity: freshwater, inorganics",9241.44732625386,CTUe
Fuel_MeOH,Infra,kg/hr,ecoinvent-cutoff-3.11,EF v3.1,"ecotoxicity: freshwater, organics",38.12641303336958,CTUe
Fuel_MeOH,Infra,kg/hr,ecoinvent-cutoff-3.11,EF v3.1,energy resources: non-renewable,4098.485486095141,"MJ, net calorific value"
Fuel_MeOH,Infra,kg/hr,ecoinvent-cutoff-3.11,EF v3.1,eutrophication: freshwater,0.37824444392180306,kg P-Eq
Fuel_MeOH,Infra,kg/hr,ecoinvent-cutoff-3.11,EF v3.1,eutrophication: marine,0.5979015182939381,kg N-Eq
Fuel_MeOH,Infra,kg/hr,ecoinvent-cutoff-3.11,EF v3.1,eutrophication: terrestrial,6.6739895996291505,mol N-Eq
Fuel_MeOH,Infra,kg/hr,ecoinvent-cutoff-3.11,EF v3.1,human toxicity: carcinogenic,6.696381691920113e-07,CTUh
Fuel_MeOH,Infra,kg/hr,ecoinvent-cutoff-3.11,EF v3.1,"human toxicity: carcinogenic, inorganics",5.270392210155692e-07,CTUh
Fuel_MeOH,Infra,kg/hr,ecoinvent-cutoff-3.11,EF v3.1,"human toxicity: carcinogenic, organics",1.4259894817644222e-07,CTUh
Fuel_MeOH,Infra,kg/hr,ecoinvent-cutoff-3.11,EF v3.1,human toxicity: non-carcinogenic,3.0381646290753258e-05,CTUh
Fuel_MeOH,Infra,kg/hr,ecoinvent-cutoff-3.11,EF v3.1,"human toxicity: non-carcinogenic, inorganics",2.8858676840327838e-05,CTUh
Fuel_MeOH,Infra,kg/hr,ecoinvent-cutoff-3.11,EF v3.1,"human toxicity: non-carcinogenic, organics",1.5229694504254217e-06,CTUh
Fuel_MeOH,Infra,kg/hr,ecoinvent-cutoff-3.11,EF v3.1,ionising radiation: human health,24.531348951172756,kBq U235-Eq
Fuel_MeOH,Infra,kg/hr,ecoinvent-cutoff-3.11,EF v3.1,land use,33476.80050597914,dimensionless
Fuel_MeOH,Infra,kg/hr,ecoinvent-cutoff-3.11,EF v3.1,material resources: metals/minerals,0.048523208447582025,kg Sb-Eq
Fuel_MeOH,Infra,kg/hr,ecoinvent-cutoff-3.11,EF v3.1,ozone depletion,2.7069759933310994e-06,kg CFC-11-Eq
Fuel_MeOH,Infra,kg/hr,ecoinvent-cutoff-3.11,EF v3.1,particulate matter formation,3.890320952299826e-05,disease incidence
Fuel_MeOH,Infra,kg/hr,ecoinvent-cutoff-3.11,EF v3.1,photochemical oxidant formation: human health,2.056014762754489,kg NMVOC-Eq
Fuel_MeOH,Infra,kg/hr,ecoinvent-cutoff-3.11,EF v3.1,water use,179.406624216415,m3 world Eq deprived
Fuel_MeOH,Infra,kg/hr,ecoinvent-consequential-3.11,EF v3.1,acidification,4.720896590751395,mol H+-Eq
Fuel_MeOH,Infra,kg/hr,ecoinvent-consequential-3.11,EF v3.1,climate change,464.64074487292237,kg CO2-Eq
Fuel_MeOH,Infra,kg/hr,ecoinvent-consequential-3.11,EF v3.1,climate change: biogenic,0.33748240536720586,kg CO2-Eq
Fuel_MeOH,Infra,kg/hr,ecoinvent-consequential-3.11,EF v3.1,climate change: fossil,464.12847954112783,kg CO2-Eq
Fuel_MeOH,Infra,kg/hr,ecoinvent-consequential-3.11,EF v3.1,climate change: land use and land use change,0.1747829264274372,kg CO2-Eq
Fuel_MeOH,Infra,kg/hr,ecoinvent-consequential-3.11,EF v3.1,ecotoxicity: freshwater,11320.752999423528,CTUe
Fuel_MeOH,Infra,kg/hr,ecoinvent-consequential-3.11,EF v3.1,"ecotoxicity: freshwater, inorganics",11285.87145775363,CTUe
Fuel_MeOH,Infra,kg/hr,ecoinvent-consequential-3.11,EF v3.1,"ecotoxicity: freshwater, organics",34.88154166989973,CTUe
Fuel_MeOH,Infra,kg/hr,ecoinvent-consequential-3.11,EF v3.1,energy resources: non-renewable,4743.623284187328,"MJ, net calorific value"
Fuel_MeOH,Infra,kg/hr,ecoinvent-consequential-3.11,EF v3.1,eutrophication: freshwater,0.42993526768323714,kg P-Eq
